t	measuredXAcc	predictedXAcc
23.089	-0.3467	0.1045
23.194	0.1328	-0.0308
23.297	-0.0283	-0.1441
23.401	-0.2764	-0.2155
23.504	0.0762	-0.2528
23.609	0.2598	-0.2107
23.712	-0.0518	-0.0861
23.815	-0.0449	0.0482
23.920	0.2236	0.1544
24.023	0.0137	0.2311
24.128	-0.2266	0.2380
24.232	0.0557	0.1581
24.334	0.0527	0.0461
24.438	-0.1816	-0.0616
24.543	-0.0605	-0.1604
24.647	-0.2617	-0.2387
24.751	0.2861	-0.2627
24.853	-0.2607	-0.2123
24.959	-0.1055	-0.1371
25.073	0.3066	-0.0491
25.166	0.0586	0.0741
25.269	-0.2832	0.1680
25.374	0.1865	0.1835
25.478	0.1875	0.1672
25.580	-0.5098	0.1139
25.686	0.0596	-0.0099
25.788	0.2412	-0.1214
25.894	-0.4355	-0.1775
25.997	-0.2910	-0.2383
26.100	0.2988	-0.2745
26.204	0.0391	-0.2125
26.308	-0.2832	-0.0995
26.412	0.1807	-0.0009
26.515	0.2803	0.1055
26.620	-0.0391	0.2132
26.723	-0.0850	0.2569
26.827	0.0938	0.2204
26.932	0.0469	0.1426
27.039	-0.1572	0.0423
27.139	-0.1416	-0.0794
27.243	0.0439	-0.1871
27.360	0.0732	-0.2287
27.455	-0.1094	-0.1999
27.554	0.0781	-0.1286
27.660	0.2373	-0.0172
27.763	-0.0059	0.1163
27.868	-0.0312	0.2115
27.974	0.1631	0.2436
28.074	0.0117	0.2279
28.177	-0.1982	0.1553
28.283	-0.0068	0.0291
28.385	0.0410	-0.0958
28.489	-0.1221	-0.1796
28.592	-0.0391	-0.2197
28.697	0.1504	-0.2004
28.800	0.0078	-0.1153
28.905	0.0322	-0.0012
29.009	0.1328	0.1085
29.112	0.0000	0.1923
29.217	-0.0586	0.2184
29.321	-0.0254	0.1752
29.448	-0.0420	0.0840
29.529	-0.0674	-0.0258
29.634	-0.0469	-0.1262
29.735	0.0039	-0.1885
29.842	0.0586	-0.1915
29.943	0.0547	-0.1336
30.047	0.0576	-0.0359
30.151	0.0898	0.0724
30.256	0.0498	0.1635
30.359	-0.0488	0.2075
30.464	-0.0088	0.1877
30.569	-0.0059	0.1181
30.682	-0.0918	0.0219
30.776	-0.0342	-0.0792
30.879	0.0449	-0.1516
30.984	0.0020	-0.1700
31.089	0.0430	-0.1361
31.193	0.1094	-0.0598
31.295	0.0459	0.0397
31.398	0.0205	0.1276
31.502	0.0410	0.1772
31.607	-0.0381	0.1777
31.715	-0.0566	0.1266
31.818	-0.0430	0.0385
31.922	-0.0449	-0.0577
32.023	-0.0078	-0.1331
32.130	0.0283	-0.1646
32.231	0.0439	-0.1430
32.333	0.0684	-0.0762
32.437	0.0879	0.0170
32.542	0.0205	0.1082
32.646	0.0098	0.1663
32.749	-0.0020	0.1750
32.852	-0.0635	0.1337
32.959	-0.0664	0.0521
33.061	-0.0088	-0.0434
33.164	-0.0254	-0.1198
33.268	-0.0098	-0.1579
33.374	0.0859	-0.1469
33.477	0.0645	-0.0854
33.580	0.0469	0.0052
33.684	0.0762	0.0954
33.789	0.0361	0.1621
33.892	-0.0293	0.1844
33.998	-0.0215	0.1530
34.099	-0.0322	0.0806
34.203	-0.0586	-0.0105
34.307	-0.0264	-0.0959
34.413	0.0137	-0.1496
34.514	0.0391	-0.1539
34.618	0.0635	-0.1081
34.724	0.0723	-0.0263
34.827	0.0508	0.0660
34.930	0.0264	0.1398
35.034	-0.0107	0.1721
35.140	-0.0264	0.1538
35.252	-0.0293	0.0930
35.356	-0.0586	0.0085
35.450	-0.0322	-0.0764
35.555	0.0176	-0.1351
35.657	0.0225	-0.1484
35.761	0.0469	-0.1144
35.864	0.0938	-0.0429
35.968	0.0527	0.0468
36.074	0.0156	0.1243
36.178	0.0264	0.1649
36.280	-0.1934	0.1487
36.385	-0.1436	0.0645
36.490	-0.2119	-0.0675
36.595	-0.1689	-0.2088
36.696	-0.2754	-0.3273
36.799	-0.2637	-0.4064
36.904	0.1445	-0.4111
37.008	0.0166	-0.3067
37.111	-0.0674	-0.1329
37.215	0.2285	0.0549
37.319	0.3086	0.2441
37.424	-0.0576	0.3916
37.530	-0.1045	0.4212
37.632	0.1104	0.3280
37.734	-0.0713	0.1681
37.839	-0.2891	-0.0306
37.942	-0.1328	-0.2406
38.046	0.0518	-0.3882
38.150	-0.0986	-0.4213
38.260	0.0498	-0.3472
38.358	0.2256	-0.1810
38.463	0.1602	0.0481
38.579	0.0352	0.2664
38.669	0.0811	0.4021
38.776	0.0117	0.4267
38.883	-0.1426	0.3356
38.982	-0.1504	0.1453
39.086	-0.0918	-0.0869
39.189	-0.1172	-0.2894
39.292	-0.0459	-0.4098
39.397	0.0830	-0.4143
39.500	0.1035	-0.2973
39.604	0.1094	-0.0967
39.708	0.1582	0.1282
39.813	0.1006	0.3188
39.918	-0.0605	0.4169
40.020	-0.0459	0.3884
40.125	-0.0605	0.2510
40.227	-0.1562	0.0499
40.331	-0.1582	-0.1667
40.434	0.0146	-0.3360
40.540	0.0205	-0.3995
40.647	0.0137	-0.3460
40.748	0.1680	-0.1983
40.953	0.0225	0.0012
41.163	-0.0391	0.1803
41.266	-0.1729	0.2704
41.370	-0.1318	0.2439
41.475	-0.0928	0.1249
41.627	-0.1055	-0.0347
41.681	0.0342	-0.1777
41.785	0.0957	-0.2490
41.888	0.0977	-0.2244
41.992	0.1523	-0.1176
42.096	0.0498	0.0317
42.200	0.0576	0.1694
42.304	-0.1025	0.2460
42.597	-0.0918	0.2322
42.615	-0.1787	0.1311
42.719	-0.1826	-0.0284
42.826	0.0830	-0.1853
42.927	-0.1045	-0.2778
43.030	-0.0928	-0.2986
43.134	0.1357	-0.2493
43.251	-0.2363	-0.1475
43.344	-0.0879	-0.0510
43.447	0.1621	0.0275
43.552	-0.1582	0.0916
43.655	-0.2891	0.0938
43.759	0.0977	0.0305
43.861	0.1035	-0.0301
43.966	-0.1465	-0.0633
44.068	0.2021	-0.0742
44.174	0.1621	-0.0375
44.277	0.0010	0.0370
44.380	0.0615	0.1048
44.484	0.0518	0.1464
44.589	-0.1025	0.1479
44.693	-0.2480	0.0855
44.796	-0.1143	-0.0349
44.899	-0.0137	-0.1590
45.004	-0.0557	-0.2355
45.109	-0.0713	-0.2522
45.249	0.1240	-0.2063
45.317	0.1875	-0.0912
45.419	0.1045	0.0680
45.524	0.0537	0.2137
45.631	0.0234	0.2969
45.733	-0.0625	0.2933
