t	measuredXAcc	predictedXAcc
23.089	-0.3467	0.0762
23.194	0.1328	0.0212
23.297	-0.0283	-0.0360
23.401	-0.2764	-0.0805
23.504	0.0762	-0.0987
23.609	0.2598	-0.0856
23.712	-0.0518	-0.0453
23.815	-0.0449	0.0107
23.920	0.2236	0.0675
24.023	0.0137	0.1068
24.128	-0.2266	0.1538
24.232	0.0557	0.1663
24.334	0.0527	0.1336
24.438	-0.1816	0.0639
24.543	-0.0605	-0.0233
24.647	-0.2617	-0.1011
24.751	0.2861	-0.1478
24.853	-0.2607	-0.1504
24.959	-0.1055	-0.1069
25.073	0.3066	-0.0228
25.166	0.0586	0.0548
25.269	-0.2832	0.0940
25.374	0.1865	0.1929
25.478	0.1875	0.2370
25.580	-0.5098	0.2157
25.686	0.0596	0.1323
25.788	0.2412	0.0161
25.894	-0.4355	-0.1067
25.997	-0.2910	-0.1936
26.100	0.2988	-0.2234
26.204	0.0391	-0.1872
26.308	-0.2832	-0.1816
26.412	0.1807	-0.0609
26.515	0.2803	0.0783
26.620	-0.0391	0.1991
26.723	-0.0850	0.2722
26.827	0.0938	0.2475
26.932	0.0469	0.1519
27.039	-0.1572	0.0106
27.139	-0.1416	-0.1235
27.243	0.0439	-0.2256
27.360	0.0732	-0.2595
27.455	-0.1094	-0.2152
27.554	0.0781	-0.1123
27.660	0.2373	0.0316
27.763	-0.0059	0.1646
27.868	-0.0312	0.2511
27.974	0.1631	0.2472
28.074	0.0117	0.1778
28.177	-0.1982	0.0596
28.283	-0.0068	-0.0764
28.385	0.0410	-0.1833
28.489	-0.1221	-0.2368
28.592	-0.0391	-0.2195
28.697	0.1504	-0.1350
28.800	0.0078	-0.0104
28.905	0.0322	0.1222
29.009	0.1328	0.2210
29.112	0.0000	0.2587
29.217	-0.0586	0.1608
29.321	-0.0254	0.0852
29.448	-0.0420	-0.0354
29.529	-0.0674	-0.1065
29.634	-0.0469	-0.1676
29.735	0.0039	-0.1783
29.842	0.0586	-0.1350
29.943	0.0547	-0.0543
30.047	0.0576	0.0456
30.151	0.0898	0.1339
30.256	0.0498	0.1853
30.359	-0.0488	0.1324
30.464	-0.0088	0.0886
30.569	-0.0059	0.0205
30.682	-0.0918	-0.0568
30.776	-0.0342	-0.1059
30.879	0.0449	-0.1288
30.984	0.0020	-0.1128
31.089	0.0430	-0.0618
31.193	0.1094	0.0086
31.295	0.0459	0.0770
31.398	0.0205	0.1222
31.502	0.0410	0.1244
31.607	-0.0381	0.0926
31.715	-0.0566	0.0342
31.818	-0.0430	-0.0292
31.922	-0.0449	-0.0823
32.023	-0.0078	-0.1089
32.130	0.0283	-0.1020
32.231	0.0439	-0.0643
32.333	0.0684	-0.0061
32.437	0.0879	0.0573
32.542	0.0205	0.1069
32.646	0.0098	0.1085
32.749	-0.0020	0.0900
32.852	-0.0635	0.0487
32.959	-0.0664	-0.0058
33.061	-0.0088	-0.0536
33.164	-0.0254	-0.0839
33.268	-0.0098	-0.0876
33.374	0.0859	-0.0625
33.477	0.0645	-0.0172
33.580	0.0469	0.0566
33.684	0.0762	0.0886
33.789	0.0361	0.0980
33.892	-0.0293	0.0822
33.998	-0.0215	0.0447
34.099	-0.0322	-0.0007
34.203	-0.0586	-0.0442
34.307	-0.0264	-0.0719
34.413	0.0137	-0.0755
34.514	0.0391	-0.0549
34.618	0.0635	-0.0151
34.724	0.0723	0.0330
34.827	0.0508	0.0734
34.930	0.0264	0.0849
35.034	-0.0107	0.0757
35.140	-0.0264	0.0468
35.252	-0.0293	0.0046
35.356	-0.0586	-0.0332
35.450	-0.0322	-0.0569
35.555	0.0176	-0.0643
35.657	0.0225	-0.0506
35.761	0.0469	-0.0192
35.864	0.0938	0.0203
35.968	0.0527	0.0572
36.074	0.0156	0.0896
36.178	0.0264	0.0830
36.280	-0.1934	0.0563
36.385	-0.1436	0.0157
36.490	-0.2119	-0.0263
36.595	-0.1689	-0.0574
36.696	-0.2754	-0.0683
36.799	-0.2637	-0.0572
36.904	0.1445	-0.0261
37.008	0.0166	0.0156
37.111	-0.0674	0.0971
37.215	0.2285	0.1196
37.319	0.3086	0.1116
37.424	-0.0576	0.0749
37.530	-0.1045	-0.1006
37.632	0.1104	-0.1628
37.734	-0.0713	-0.1727
37.839	-0.2891	-0.1256
37.942	-0.1328	-0.0362
38.046	0.0518	0.0716
38.150	-0.0986	0.1658
38.260	0.0498	0.2206
38.358	0.2256	0.2163
38.463	0.1602	0.1573
38.579	0.0352	-0.1068
38.669	0.0811	-0.1640
38.776	0.0117	-0.1796
38.883	-0.1426	-0.1345
38.982	-0.1504	-0.0504
39.086	-0.0918	0.0572
39.189	-0.1172	0.1530
39.292	-0.0459	0.2107
39.397	0.0830	0.2136
39.500	0.1035	0.1606
39.604	0.1094	0.0665
39.708	0.1582	-0.0414
39.813	0.1006	-0.1324
39.918	-0.0605	-0.1378
40.020	-0.0459	-0.0751
40.125	-0.0605	0.0142
40.227	-0.1562	0.1002
40.331	-0.1582	0.1620
40.434	0.0146	0.1801
40.540	0.0205	0.1486
40.647	0.0137	0.0748
40.748	0.1680	-0.0133
40.953	0.0225	-0.1486
41.163	-0.0391	-0.1144
41.266	-0.1729	-0.0376
41.370	-0.1318	0.0537
41.475	-0.0928	0.1332
41.627	-0.1055	0.1804
41.681	0.0342	0.1722
41.785	0.0957	0.1217
41.888	0.0977	0.0399
41.992	0.1523	-0.0511
42.096	0.0498	-0.1241
42.200	0.0576	-0.1582
42.304	-0.1025	-0.1434
42.597	-0.0918	0.0765
42.615	-0.1787	0.0909
42.719	-0.1826	0.1569
42.826	0.0830	0.1805
42.927	-0.1045	0.1550
43.030	-0.0928	0.0886
43.134	0.1357	-0.0009
43.251	-0.2363	-0.0963
43.344	-0.0879	-0.1456
43.447	0.1621	-0.1577
43.552	-0.1582	-0.1208
43.655	-0.2891	-0.1381
43.759	0.0977	-0.0834
43.861	0.1035	-0.0037
43.966	-0.1465	0.0819
