0.115	0.1270		0.1270
0.142	0.2012		0.2012
0.245	0.0703		0.0703
0.350	-0.0352		-0.0352
0.452	-0.0117		-0.0117
0.554	-0.0830		-0.0830
0.654	-0.1738		-0.1738
0.757	-0.1875		-0.1875
0.858	-0.0684		-0.0684
0.960	-0.0234		-0.0234
1.062	-0.0137		-0.0137
1.163	0.0801		0.0801
1.267	0.1523		0.1523
1.368	0.1348		0.1348
1.471	0.0234		0.0234
1.573	-0.0195		-0.0195
1.677	-0.0537		-0.0537
1.779	-0.1250		-0.1250
1.878	-0.1719		-0.1719
1.982	-0.1445		-0.1445
2.084	-0.0674		-0.0674
2.185	0.0010		0.0010
2.287	0.0322		0.0322
2.389	0.1035		0.1035
2.491	0.1533		0.1533
2.591	0.1152		0.1152
2.695	0.0117		0.0117
2.798	-0.0371		-0.0371
2.901	-0.0674		-0.0674
3.003	-0.1338		-0.1338
3.105	-0.1709		-0.1709
3.207	-0.1133		-0.1133
3.312	-0.0283		-0.0283
3.410	0.0078		0.0078
3.509	0.0488		0.0488
3.611	0.1299		0.1299
3.714	0.1445		0.1445
3.817	0.0576		0.0576
3.920	-0.0195		-0.0195
4.021	-0.0332		-0.0332
4.123	-0.0977		-0.0977
4.226	-0.1533		-0.1533
4.328	-0.1465		-0.1465
4.430	-0.0625		-0.0625
4.539	-0.0322		-0.0322
4.634	0.0127		0.0127
4.734	0.0752		0.0752
4.837	0.1436		0.1436
4.938	0.1035		0.1035
5.041	0.0146		0.0146
5.143	-0.0322		-0.0322
5.244	-0.0498		-0.0498
5.348	-0.1123		-0.1123
5.447	-0.1504		-0.1504
5.552	-0.1084		-0.1084
5.653	-0.0391		-0.0391
5.756	0.0049		0.0049
5.859	0.0381		0.0381
5.957	0.1016		0.1016
6.063	0.1270		0.1270
6.163	0.0664		0.1561
6.265	-0.0059		0.0696
6.366	-0.0410		-0.0341
6.466	-0.0801		-0.1254
6.571	-0.1279		-0.1810
6.672	-0.1494		-0.1799
6.773	-0.0742		-0.1254
6.877	-0.0156		-0.0300
6.980	0.0059		0.0755
7.079	0.0693		0.1581
7.180	0.1172		0.1994
7.282	0.1025		0.1852
7.385	0.0371		0.1182
7.490	-0.0273		0.0161
7.590	-0.0410		-0.0843
7.691	-0.0957		-0.1597
7.793	-0.1426		-0.1875
7.893	-0.1152		-0.1597
7.996	-0.0537		-0.0825
8.099	0.0000		0.0213
8.204	0.0332		0.1225
8.303	0.0938		0.1856
8.405	0.1230		0.1992
8.510	0.0820		0.1547
8.609	0.0039		0.0706
8.712	-0.0195		-0.0351
8.815	-0.0771		-0.1284
8.917	-0.1162		-0.1812
9.017	-0.1211		-0.1799
9.121	-0.0830		-0.1231
9.225	-0.0273		-0.0270
9.325	0.0000		0.0755
9.429	0.0576		0.1613
9.528	0.1074		0.1998
9.630	0.0996		0.1839
9.730	0.0410		0.1182
9.834	-0.0098		0.0171
9.937	-0.0498		-0.0862
10.038	-0.0879		-0.1608
10.141	-0.1172		-0.1875
10.243	-0.1016		-0.1570
10.346	-0.0508		-0.0778
10.446	-0.0078		0.0234
10.546	0.0254		0.1199
10.649	0.0693		0.1860
10.752	0.1025		0.1989
10.855	0.0732		0.1547
10.960	0.0029		0.0647
11.059	-0.0352		-0.0372
11.158	-0.0586		-0.1269
11.263	-0.1016		-0.1815
11.366	-0.1260		-0.1787
11.467	-0.0781		-0.1223
11.575	-0.0195		-0.0218
11.672	0.0039		0.0774
11.773	0.0518		0.1606
11.874	0.0908		0.1999
11.974	0.0957		0.1844
12.080	0.0342		0.1139
12.180	-0.0107		0.0161
12.281	-0.0469		-0.0852
12.386	-0.0732		-0.1623
12.486	-0.1064		-0.1875
12.590	-0.1006		-0.1558
12.688	-0.0576		-0.0806
12.793	-0.0059		0.0254
12.894	0.0166		0.1225
12.994	0.0684		0.1860
13.097	0.1016		0.1989
13.199	0.0713		0.1554
13.307	0.0146		0.0627
13.405	-0.0254		-0.0382
13.506	-0.0576		-0.1291
13.608	-0.0928		-0.1815
13.710	-0.1064		-0.1790
13.810	-0.0830		-0.1238
13.912	-0.0342		-0.0300
14.017	0.0098		0.0774
14.118	0.0586		0.1606
14.220	0.0791		0.2000
14.323	0.0928		0.1826
14.427	0.0439		0.1122
14.531	0.0010		0.0098
14.628	-0.0410		-0.0871
14.732	-0.0674		-0.1629
14.833	-0.0996		-0.1874
14.934	-0.0986		-0.1564
15.035	-0.0498		-0.0788
15.139	-0.0078		0.0265
15.242	0.0156		0.1249
15.343	0.0693		0.1876
15.443	0.0918		0.1987
15.547	0.0850		0.1534
15.649	0.0078		0.0657
15.750	-0.0244		-0.0382
15.850	-0.0576		-0.1284
15.952	-0.0811		-0.1812
16.055	-0.1025		-0.1790
16.157	-0.0674		-0.1223
16.259	-0.0273		-0.0280
16.363	0.0010		0.0784
16.462	0.0420		0.1600
16.565	0.0791		0.2000
16.667	0.0732		0.1831
16.770	0.0381		0.1139
16.875	-0.0127		0.0109
16.976	-0.0391		-0.0898
17.075	-0.0703		-0.1618
17.178	-0.0947		-0.1874
17.381	-0.0488		-0.0778
17.489	-0.0059		0.0316
17.587	0.0264		0.1249
17.688	0.0537		0.1876
17.791	0.0781		0.1982
17.896	0.0615		0.1506
17.996	0.0098		0.0637
18.098	-0.0244		-0.0412
18.201	-0.0615		-0.1328
18.301	-0.0791		-0.1822
18.403	-0.0928		-0.1780
18.503	-0.0654		-0.1215
18.609	-0.0361		-0.0228
18.710	0.0078		0.0804
18.810	0.0381		0.1619
18.913	0.0645		0.2003
19.013	0.0732		0.1826
