0.115	0.1270
0.142	0.2012
0.245	0.0703
0.350	-0.0352
0.452	-0.0117
0.554	-0.0830
0.654	-0.1738
0.757	-0.1875
0.858	-0.0684
0.960	-0.0234
1.062	-0.0137
1.163	0.0801
1.267	0.1523
1.368	0.1348
1.471	0.0234
1.573	-0.0195
1.677	-0.0537
1.779	-0.1250
1.878	-0.1719
1.982	-0.1445
2.084	-0.0674
2.185	0.0010
2.287	0.0322
2.389	0.1035
2.491	0.1533
2.591	0.1152
2.695	0.0117
2.798	-0.0371
2.901	-0.0674
3.003	-0.1338
3.105	-0.1709
3.207	-0.1133
3.312	-0.0283
3.410	0.0078
3.509	0.0488
3.611	0.1299
3.714	0.1445
3.817	0.0576
3.920	-0.0195
4.021	-0.0332
4.123	-0.0977
4.226	-0.1533
4.328	-0.1465
4.430	-0.0625
4.539	-0.0322
4.634	0.0127
4.734	0.0752
4.837	0.1436
4.938	0.1035
5.041	0.0146
5.143	-0.0322
5.244	-0.0498
5.348	-0.1123
5.447	-0.1504
5.552	-0.1084
5.653	-0.0391
5.756	0.0049
5.859	0.0381
5.957	0.1016
6.063	0.1270
6.163	0.0664
6.265	-0.0059
6.366	-0.0410
6.466	-0.0801
6.571	-0.1279
6.672	-0.1494
6.773	-0.0742
6.877	-0.0156
6.980	0.0059
7.079	0.0693
7.180	0.1172
7.282	0.1025
7.385	0.0371
7.490	-0.0273
7.590	-0.0410
7.691	-0.0957
7.793	-0.1426
7.893	-0.1152
7.996	-0.0537
8.099	0.0000
8.204	0.0332
8.303	0.0938
8.405	0.1230
8.510	0.0820
8.609	0.0039
8.712	-0.0195
8.815	-0.0771
8.917	-0.1162
9.017	-0.1211
9.121	-0.0830
9.225	-0.0273
9.325	0.0000
9.429	0.0576
9.528	0.1074
9.630	0.0996
9.730	0.0410
9.834	-0.0098
9.937	-0.0498
10.038	-0.0879
10.141	-0.1172
10.243	-0.1016
10.346	-0.0508
10.446	-0.0078
10.546	0.0254
10.649	0.0693
10.752	0.1025
10.855	0.0732
10.960	0.0029
11.059	-0.0352
11.158	-0.0586
11.263	-0.1016
11.366	-0.1260
11.467	-0.0781
11.575	-0.0195
11.672	0.0039
11.773	0.0518
11.874	0.0908
11.974	0.0957
12.080	0.0342
12.180	-0.0107
12.281	-0.0469
12.386	-0.0732
12.486	-0.1064
12.590	-0.1006
12.688	-0.0576
12.793	-0.0059
12.894	0.0166
12.994	0.0684
13.097	0.1016
13.199	0.0713
13.307	0.0146
13.405	-0.0254
13.506	-0.0576
13.608	-0.0928
13.710	-0.1064
13.810	-0.0830
13.912	-0.0342
14.017	0.0098
14.118	0.0586
14.220	0.0791
14.323	0.0928
14.427	0.0439
14.531	0.0010
14.628	-0.0410
14.732	-0.0674
14.833	-0.0996
14.934	-0.0986
15.035	-0.0498
15.139	-0.0078
15.242	0.0156
15.343	0.0693
15.443	0.0918
15.547	0.0850
15.649	0.0078
15.750	-0.0244
15.850	-0.0576
15.952	-0.0811
16.055	-0.1025
16.157	-0.0674
16.259	-0.0273
16.363	0.0010
16.462	0.0420
16.565	0.0791
16.667	0.0732
16.770	0.0381
16.875	-0.0127
16.976	-0.0391
17.075	-0.0703
17.178	-0.0947
17.381	-0.0488
17.489	-0.0059
17.587	0.0264
17.688	0.0537
17.791	0.0781
17.896	0.0615
17.996	0.0098
18.098	-0.0244
18.201	-0.0615
18.301	-0.0791
18.403	-0.0928
18.503	-0.0654
18.609	-0.0361
18.710	0.0078
18.810	0.0381
18.913	0.0645
19.013	0.0732
19.117	0.0381
19.216	-0.0098
19.321	-0.0439
19.422	-0.0732
19.526	-0.0830
19.627	-0.0869
19.732	-0.0498
19.833	-0.0107
19.931	0.0205
